year,month,n_total,n_flag_iqr15,n_flag_iqr30,mean_value,std_value,variable,pct_flag_iqr15,pct_flag_iqr30
2020,1,254,0,0,1.4800730063673737,0.07359194292618465,Vel_viento_idw,0.0,0.0
2020,2,254,0,0,1.3505051413218325,0.035659952798342665,Vel_viento_idw,0.0,0.0
2020,3,254,0,0,1.0370311583745797,0.04224722649466159,Vel_viento_idw,0.0,0.0
2020,4,254,0,0,0.8910267988431028,0.002204203121460577,Vel_viento_idw,0.0,0.0
2020,5,254,0,0,1.1434106034567117,0.00248861642745532,Vel_viento_idw,0.0,0.0
2020,6,254,0,0,1.2432680086285766,0.0023266588504306756,Vel_viento_idw,0.0,0.0
2020,7,254,0,0,1.1344780269400694,0.010132224026069087,Vel_viento_idw,0.0,0.0
2020,8,254,0,0,1.1114329811302717,0.011850554416455028,Vel_viento_idw,0.0,0.0
2020,9,254,0,0,1.1249849483729966,0.028654640578987842,Vel_viento_idw,0.0,0.0
2020,10,254,0,0,1.2580929270401366,0.0522016922044838,Vel_viento_idw,0.0,0.0
2020,11,254,5,0,0.7889623608337176,0.059452256414951485,Vel_viento_idw,1.968503937007874,0.0
2020,12,254,0,0,0.8624558482493891,0.025004669818719724,Vel_viento_idw,0.0,0.0
2021,1,254,0,0,1.064773925606841,0.01711430162648314,Vel_viento_idw,0.0,0.0
2021,2,254,0,0,1.03474978948759,0.033282533163055135,Vel_viento_idw,0.0,0.0
2021,3,254,0,0,0.9246157758123628,0.025547435761271785,Vel_viento_idw,0.0,0.0
2021,4,254,0,0,0.9468447749138295,0.008765498833042128,Vel_viento_idw,0.0,0.0
2021,5,254,0,0,1.1770195836131705,0.009276447548267494,Vel_viento_idw,0.0,0.0
2021,6,254,0,0,1.1062329611637896,0.019427626068555304,Vel_viento_idw,0.0,0.0
2021,7,254,241,0,1.637227203844239,0.0063000472654012474,Vel_viento_idw,94.88188976377953,0.0
2021,8,254,0,0,1.2637146244630137,0.0005456733851924487,Vel_viento_idw,0.0,0.0
2021,9,254,0,0,1.2809661635116234,0.0012815056773454235,Vel_viento_idw,0.0,0.0
2021,10,254,0,0,0.8547491125872417,0.0014385934700523108,Vel_viento_idw,0.0,0.0
2021,11,254,0,0,0.8952338513903083,0.02245197946709051,Vel_viento_idw,0.0,0.0
2021,12,254,0,0,1.0273423198609406,0.03517113000920734,Vel_viento_idw,0.0,0.0
2022,1,254,0,0,1.1650552789897828,0.046531057755481456,Vel_viento_idw,0.0,0.0
2022,2,254,0,0,0.8925308624335111,0.012357376174401646,Vel_viento_idw,0.0,0.0
2022,3,254,0,0,0.8816420351834445,0.014534754714665397,Vel_viento_idw,0.0,0.0
2022,4,254,0,0,0.9915339168830579,0.012097413594140106,Vel_viento_idw,0.0,0.0
2022,5,254,0,0,0.9896507998196824,0.007788247406834468,Vel_viento_idw,0.0,0.0
2022,6,254,0,0,0.9078179974979903,0.001691587494095808,Vel_viento_idw,0.0,0.0
2022,7,254,0,0,1.1406043287298098,0.007738640735453126,Vel_viento_idw,0.0,0.0
2022,8,254,0,0,1.2137029238601391,0.007341787364404446,Vel_viento_idw,0.0,0.0
2022,9,254,0,0,1.0046385911658788,0.003588215896567091,Vel_viento_idw,0.0,0.0
2022,10,254,0,0,1.047389983781974,0.04851532461072582,Vel_viento_idw,0.0,0.0
2022,11,254,0,0,0.9524167441188363,0.06602317249683244,Vel_viento_idw,0.0,0.0
2022,12,254,0,0,0.931561781876269,0.028325409358614082,Vel_viento_idw,0.0,0.0
2023,1,254,0,0,0.9592357149601548,0.02405923561983843,Vel_viento_idw,0.0,0.0
2023,2,254,0,0,0.9936397629163284,0.013950104659102302,Vel_viento_idw,0.0,0.0
2023,3,254,0,0,0.8641170637136438,0.023910415605695283,Vel_viento_idw,0.0,0.0
2023,4,254,0,0,0.8956865457993307,0.013891521542423716,Vel_viento_idw,0.0,0.0
2023,5,254,0,0,1.1135793255699689,0.0066472939650688775,Vel_viento_idw,0.0,0.0
2023,6,254,0,0,1.601485393601813,0.013430179498579317,Vel_viento_idw,0.0,0.0
2023,7,254,254,0,1.7136912232572643,0.014137901343616564,Vel_viento_idw,100.0,0.0
2023,8,254,0,0,1.5815259741607195,0.03407978323882281,Vel_viento_idw,0.0,0.0
2023,9,254,0,0,1.4254669733434606,0.02978219194150578,Vel_viento_idw,0.0,0.0
2023,10,254,0,0,0.905501302322505,0.02133086869387734,Vel_viento_idw,0.0,0.0
2023,11,254,0,0,0.985166747061348,0.01337891927148541,Vel_viento_idw,0.0,0.0
2023,12,254,0,0,1.0192227581460394,0.027482095945135097,Vel_viento_idw,0.0,0.0
2024,1,254,0,0,1.3542764697193634,0.018850535124821887,Vel_viento_idw,0.0,0.0
2024,2,254,0,0,1.2050160309910745,0.029430440728000034,Vel_viento_idw,0.0,0.0
2024,3,254,0,0,1.1549018428350497,0.01666784158405289,Vel_viento_idw,0.0,0.0
2024,4,254,0,0,0.9816066214102441,0.0032806545340041413,Vel_viento_idw,0.0,0.0
2024,5,254,0,0,0.9717716033246006,0.01969384853830084,Vel_viento_idw,0.0,0.0
2024,6,254,0,0,1.131434842798463,0.003844517032035897,Vel_viento_idw,0.0,0.0
2024,7,254,0,0,1.495035885516854,0.0071929673502609546,Vel_viento_idw,0.0,0.0
2024,8,254,0,0,1.4642591939672094,0.02341434889188401,Vel_viento_idw,0.0,0.0
2024,9,254,0,0,1.4324630790886137,0.019325105614367757,Vel_viento_idw,0.0,0.0
2024,10,254,0,0,1.1341417211306344,0.013691441301186394,Vel_viento_idw,0.0,0.0
2024,11,254,0,0,0.9666835417710026,0.04531404075093156,Vel_viento_idw,0.0,0.0
2024,12,254,0,0,0.9000415384674377,0.022372608792880798,Vel_viento_idw,0.0,0.0
2020,1,254,66,57,-1.0927391974657053e-17,2.295107261628672,diff_NO2_grid,25.984251968503937,22.440944881889763
2020,2,254,79,63,-4.370956789862821e-19,3.5496305347652872,diff_NO2_grid,31.10236220472441,24.80314960629921
2020,3,254,76,53,8.523365740232501e-18,2.331947759139019,diff_NO2_grid,29.921259842519685,20.866141732283463
2020,4,254,44,30,1.049029629567077e-17,2.2980904052667985,diff_NO2_grid,17.322834645669293,11.811023622047244
2020,5,254,70,54,-2.1417688270327822e-17,2.811845026587589,diff_NO2_grid,27.559055118110237,21.25984251968504
2020,6,254,69,53,8.632639659979072e-18,2.4872771218362657,diff_NO2_grid,27.165354330708663,20.866141732283463
2020,7,254,73,59,-8.086270061246218e-18,2.339217259153583,diff_NO2_grid,28.74015748031496,23.228346456692915
2020,8,254,75,60,2.338461882576609e-17,2.164032451773842,diff_NO2_grid,29.52755905511811,23.62204724409449
2020,9,254,84,65,2.4258810183738657e-17,2.5455767448947433,diff_NO2_grid,33.07086614173228,25.590551181102363
2020,10,254,71,55,1.3112870369588463e-17,2.1886738938908157,diff_NO2_grid,27.95275590551181,21.653543307086615
2020,11,254,86,70,-2.4586631942978367e-18,3.105361138526981,diff_NO2_grid,33.85826771653543,27.559055118110237
2020,12,254,71,65,-1.5735444443506155e-17,2.606968526611624,diff_NO2_grid,27.95275590551181,25.590551181102363
