year,month,n_total,n_flag_iqr15,n_flag_iqr30,mean_value,std_value,variable,pct_flag_iqr15,pct_flag_iqr30
2020,1,254,0,0,1.4800730063673737,0.07359194292618465,Vel_viento_idw,0.0,0.0
2020,2,254,0,0,1.3505051413218325,0.035659952798342665,Vel_viento_idw,0.0,0.0
2020,3,254,0,0,1.0370311583745797,0.04224722649466159,Vel_viento_idw,0.0,0.0
2020,4,254,0,0,0.8910267988431028,0.002204203121460577,Vel_viento_idw,0.0,0.0
2020,5,254,0,0,1.1434106034567117,0.00248861642745532,Vel_viento_idw,0.0,0.0
2020,6,254,0,0,1.2432680086285766,0.0023266588504306756,Vel_viento_idw,0.0,0.0
2020,7,254,0,0,1.1344780269400694,0.010132224026069087,Vel_viento_idw,0.0,0.0
2020,8,254,0,0,1.1114329811302717,0.011850554416455028,Vel_viento_idw,0.0,0.0
2020,9,254,0,0,1.1249849483729966,0.028654640578987842,Vel_viento_idw,0.0,0.0
2020,10,254,0,0,1.2580929270401366,0.0522016922044838,Vel_viento_idw,0.0,0.0
2020,11,254,5,0,0.7889623608337176,0.059452256414951485,Vel_viento_idw,1.968503937007874,0.0
2020,12,254,0,0,0.8624558482493891,0.025004669818719724,Vel_viento_idw,0.0,0.0
2021,1,254,0,0,1.064773925606841,0.01711430162648314,Vel_viento_idw,0.0,0.0
2021,2,254,0,0,1.03474978948759,0.033282533163055135,Vel_viento_idw,0.0,0.0
2021,3,254,0,0,0.9246157758123628,0.025547435761271785,Vel_viento_idw,0.0,0.0
