year,month,n_total,n_flag_iqr15,n_flag_iqr30,mean_value,std_value,variable,pct_flag_iqr15,pct_flag_iqr30
2021,12,254,0,0,1.0273423198609406,0.03517113000920734,Vel_viento_idw,0.0,0.0
2022,1,254,0,0,1.1650552789897828,0.046531057755481456,Vel_viento_idw,0.0,0.0
2022,2,254,0,0,0.8925308624335111,0.012357376174401646,Vel_viento_idw,0.0,0.0
2022,3,254,0,0,0.8816420351834445,0.014534754714665397,Vel_viento_idw,0.0,0.0
2022,4,254,0,0,0.9915339168830579,0.012097413594140106,Vel_viento_idw,0.0,0.0
2022,5,254,0,0,0.9896507998196824,0.007788247406834468,Vel_viento_idw,0.0,0.0
2022,6,254,0,0,0.9078179974979903,0.001691587494095808,Vel_viento_idw,0.0,0.0
2022,7,254,0,0,1.1406043287298098,0.007738640735453126,Vel_viento_idw,0.0,0.0
2022,8,254,0,0,1.2137029238601391,0.007341787364404446,Vel_viento_idw,0.0,0.0
2022,9,254,0,0,1.0046385911658788,0.003588215896567091,Vel_viento_idw,0.0,0.0
2022,10,254,0,0,1.047389983781974,0.04851532461072582,Vel_viento_idw,0.0,0.0
2022,11,254,0,0,0.9524167441188363,0.06602317249683244,Vel_viento_idw,0.0,0.0
2022,12,254,0,0,0.931561781876269,0.028325409358614082,Vel_viento_idw,0.0,0.0
2023,1,254,0,0,0.9592357149601548,0.02405923561983843,Vel_viento_idw,0.0,0.0
2023,2,254,0,0,0.9936397629163284,0.013950104659102302,Vel_viento_idw,0.0,0.0
2023,3,254,0,0,0.8641170637136438,0.023910415605695283,Vel_viento_idw,0.0,0.0
2023,4,254,0,0,0.8956865457993307,0.013891521542423716,Vel_viento_idw,0.0,0.0
2023,5,254,0,0,1.1135793255699689,0.0066472939650688775,Vel_viento_idw,0.0,0.0
2023,6,254,0,0,1.601485393601813,0.013430179498579317,Vel_viento_idw,0.0,0.0
2023,7,254,254,0,1.7136912232572643,0.014137901343616564,Vel_viento_idw,100.0,0.0
2023,8,254,0,0,1.5815259741607195,0.03407978323882281,Vel_viento_idw,0.0,0.0
2023,9,254,0,0,1.4254669733434606,0.02978219194150578,Vel_viento_idw,0.0,0.0
2023,10,254,0,0,0.905501302322505,0.02133086869387734,Vel_viento_idw,0.0,0.0
2023,11,254,0,0,0.985166747061348,0.01337891927148541,Vel_viento_idw,0.0,0.0
2023,12,254,0,0,1.0192227581460394,0.027482095945135097,Vel_viento_idw,0.0,0.0
2024,1,254,0,0,1.3542764697193634,0.018850535124821887,Vel_viento_idw,0.0,0.0
2024,2,254,0,0,1.2050160309910745,0.029430440728000034,Vel_viento_idw,0.0,0.0
2024,3,254,0,0,1.1549018428350497,0.01666784158405289,Vel_viento_idw,0.0,0.0
2024,4,254,0,0,0.9816066214102441,0.0032806545340041413,Vel_viento_idw,0.0,0.0
